recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
       1;GROTH_MOS01-21  ;216.1622;+54.0911; ;22.54; ; 4.60; ; 1.04; ; 0.80; ; 1.13;V;pt ;14.92;Mdw;      ; ;Mdw
       2;VVDS22H_MOS05-05;333.8326;-00.5491; ;21.14; ; 4.47; ; 0.99; ; 0.90; ; 0.74;F;pt ;21.24;QSO;      ; ;CV
       3;ELAISN1_MOS15-02;242.0397;+54.3586;>;22.89;>; 4.03; ; 1.37; ; 0.84; ; 2.93;V;pt ;22.51;QSO;      ; ;CV
       4;ELAISN1_MOS15-09;242.3685;+53.6738;>;23.03;>; 4.02; ; 1.23; ; 0.01; ; 2.15;F;ext;21.05;   ;      ; ;Galaxy Trans
       5;GROTH_MOS07-09  ;212.5024;+52.4153;>;23.10;>; 3.61; ; 3.51; ; 0.09; ; 0.69;F;pt ;17.45;Mdw;      ; ;Mdw
       6;CDFS_MOS02-20   ;053.1682;-26.3564;>;23.06;>; 3.60; ; 0.73; ; 0.95; ; 0.78; ;   ;15.72;Mdw;      ; ;Mdw
       7;CDFS_MOS00-41   ;053.3453;-27.3361;>;23.10;>; 3.36; ; 0.36; ; 0.39; ; 0.15;V;   ;15.76;   ;      ; ;Mdw
       8;COSMOS_MOS22-11 ;149.4973;+03.1171; ;22.56; ; 3.35; ; 0.75; ;     ; ; 0.58;F;pt ;14.25;Mdw;      ; ;Mdw
       9;GROTH_MOS05-00  ;214.9435;+52.9953; ;22.07; ; 3.29; ; 0.71; ; 1.18; ; 0.65;F;pt ;14.15;Mdw;      ;X;Mdw
      10;XMMLSS_MOS06-22 ;036.6468;-05.0886;>;22.95;>; 3.28; ; 0.95;<; 0.00; ; 4.04; ;pt ;15.58;Mdw;      ;X;Mdw
      11;XMMLSS_MOS06-13 ;036.1977;-05.7411;>;22.95;>; 3.07; ; 0.94; ; 0.90; ; 3.14;V;pt ;16.36;Mdw;      ; ;Mdw
      12;VVDS22H_MOS06-14;333.0054;-00.0571; ;21.61; ; 2.92; ; 0.75; ; 1.02; ; 0.98;V;pt ;17.97;QSO;      ; ;RRAB
      13;VVDS22H_MOS01-20;332.9690;+00.6330; ;20.80; ; 2.91; ; 0.60; ; 0.94; ; 0.80;V;pt ;16.72;RRL;      ; ;RRL
      14;CDFS_MOS02-27   ;053.3843;-26.4151;>;23.04;>; 2.78; ; 0.81; ; 1.26; ; 1.00;V;pt ;19.09;   ;      ; ;Point Var
      15;CDFS_MOS00-34   ;053.2068;-27.4446;>;23.10;>; 2.73; ; 2.69; ; 0.21; ; 0.09;F;pt ;21.18;   ;      ; ;Mdw
      16;COSMOS_MOS26-10 ;150.1707;+01.3682;>;22.74;>; 2.70; ; 0.79; ; 1.45; ; 1.37;V;pt ;18.16;RRL;      ; ;BHB
      17;CDFS_MOS00-48   ;053.5173;-27.9419;>;23.10;>; 2.61; ; 0.81; ; 0.15; ; 2.81;V;ext;21.25;   ;      ; ;AGN
      18;ELAISN1_MOS14-10;244.1190;+53.7978;>;23.00;>; 2.59; ; 1.54; ; 0.48; ; 1.52; ;pt ;23.22;   ;      ; ;QSO
      19;GROTH_MOS05-28  ;216.2153;+52.9668; ;22.70; ; 2.57; ; 0.72; ; 0.31; ; 1.00;V;ext;     ;   ;      ; ;AGN
      20;XMMLSS_MOS00-06 ;035.3590;-03.2330;>;22.93;>; 2.56; ; 0.49; ; 0.39; ; 0.36;F;pt ;17.09;Mdw;      ;X;Mdw
      21;GROTH_MOS04-09  ;211.9660;+53.8581;>;23.08;>; 2.47; ; 2.37; ; 0.80; ; 0.34;F;pt ;18.96;Mdw;      ; ;Mdw
      22;CDFS_MOS01-18   ;051.9778;-28.2587;>;23.10;>; 2.43; ; 0.60; ; 0.24; ; 0.26; ;pt ;16.75;   ;      ; ;?
      23;GROTH_MOS01-17  ;215.7203;+53.8106; ;21.94; ; 2.42; ; 0.77; ; 0.17; ; 1.18;F;pt ;11.05;   ;      ; ;S Boo (LPV)
      24;XMMLSS_MOS04-19 ;037.1814;-04.2070; ;22.02; ; 2.37; ; 0.43;<; 0.00; ; 2.79;V;ext;20.52;   ;      ; ;AGN
      25;XMMLSS_MOS06-08 ;036.0164;-05.2675;>;22.95;>; 2.32; ; 0.49; ; 0.79; ; 0.45;F;pt ;15.72;Mdw;      ;X;Mdw
      26;XMMLSS_MOS06-15 ;036.3409;-05.0050; ;21.16; ; 2.30; ; 0.58; ; 1.03; ; 0.75;V;pt ;17.41;RRL;      ; ;RRL
      27;VVDS22H_MOS05-06;333.9074;-00.8893;>;22.28;>; 2.28; ; 0.49; ; 0.62; ; 0.61;F;pt ;14.46;Mdw;      ; ;Mdw
      28;VVDS22H_MOS01-12;332.7151;+00.9594; ;21.41; ; 2.18; ; 0.40; ; 0.55; ; 0.75;V;pt ;14.06;Mdw;      ; ;Mdw
      29;GROTH_MOS04-18  ;212.4558;+53.9933; ;22.79; ; 2.17; ; 0.75; ; 0.20; ; 1.42;V;ext;21.61;   ;      ; ;AGN
      30;ELAISN1_MOS16-06;240.9017;+54.6899;>;23.03;>; 2.17; ; 1.12; ; 0.35; ; 0.44; ;pt ;16.09;Mdw;      ; ;Mdw
      31;VVDS22H_MOS00-20;333.8322;+01.6992; ;20.84; ; 2.12; ; 0.44; ; 0.68; ; 0.81; ;pt ;17.03;   ;      ; ;?
      32;XMMLSS_MOS05-22 ;035.4766;-04.7692;>;22.99;>; 2.12; ; 2.03; ; 0.45; ; 0.29;F;   ;     ;   ;      ; ;Orphan Trans
